metric,accuracy
chr_euc,0.46031746
chr_euc,0.412698413
chr_euc,0.444444444
chr_euc,0.46031746
chr_euc,0.396825397
chr_euc,0.412698413
chr_euc,0.412698413
chr_euc,0.516129032
chr_euc,0.5
chr_euc,0.370967742
mfcc_dtw,0.80952381
mfcc_dtw,0.571428571
mfcc_dtw,0.698412698
mfcc_dtw,0.666666667
mfcc_dtw,0.73015873
mfcc_dtw,0.682539683
mfcc_dtw,0.746031746
mfcc_dtw,0.725806452
mfcc_dtw,0.838709677
mfcc_dtw,0.758064516
pca_dtw,0.111111111
pca_dtw,0.174603175
pca_dtw,0.126984127
pca_dtw,0.079365079
pca_dtw,0.142857143
pca_dtw,0.158730159
pca_dtw,0.206349206
pca_dtw,0.161290323
pca_dtw,0.129032258
pca_dtw,0.112903226
sax_ld,0.666666667
sax_ld,0.682539683
sax_ld,0.698412698
sax_ld,0.682539683
sax_ld,0.634920635
sax_ld,0.682539683
sax_ld,0.682539683
sax_ld,0.709677419
sax_ld,0.725806452
sax_ld,0.661290323
sax_twed,0.619047619
sax_twed,0.714285714
sax_twed,0.666666667
sax_twed,0.698412698
sax_twed,0.619047619
sax_twed,0.682539683
sax_twed,0.666666667
sax_twed,0.709677419
sax_twed,0.661290323
sax_twed,0.709677419
spcc,0.714285714
spcc,0.619047619
spcc,0.53968254
spcc,0.555555556
spcc,0.682539683
spcc,0.666666667
spcc,0.682539683
spcc,0.693548387
spcc,0.64516129
spcc,0.774193548
