metric,accuracy
chr_euc,0.8703703703703703
mfcc_dtw,0.9259259259259259
spcc,0.8333333333333334
pca_dtw,0.14814814814814814
sax_twed,0.9259259259259259
sax_ld,0.9074074074074074
chr_euc,0.8888888888888888
mfcc_dtw,1.0
spcc,0.9444444444444444
pca_dtw,0.1111111111111111
sax_twed,0.9629629629629629
sax_ld,0.9444444444444444
chr_euc,0.8490566037735849
mfcc_dtw,1.0
spcc,0.9622641509433962
pca_dtw,0.22641509433962265
sax_twed,0.9622641509433962
sax_ld,0.9811320754716981
chr_euc,0.9433962264150944
mfcc_dtw,0.9811320754716981
spcc,0.9622641509433962
pca_dtw,0.16981132075471697
sax_twed,0.9622641509433962
sax_ld,0.9056603773584906
chr_euc,0.8301886792452831
mfcc_dtw,0.9622641509433962
spcc,0.9245283018867925
pca_dtw,0.16981132075471697
sax_twed,0.9433962264150944
sax_ld,0.9622641509433962
chr_euc,0.8113207547169812
mfcc_dtw,0.9622641509433962
spcc,0.9433962264150944
pca_dtw,0.20754716981132076
sax_twed,0.9433962264150944
sax_ld,0.9245283018867925
chr_euc,0.8490566037735849
mfcc_dtw,0.9811320754716981
spcc,0.9245283018867925
pca_dtw,0.16981132075471697
sax_twed,0.9622641509433962
sax_ld,0.9622641509433962
chr_euc,0.8301886792452831
mfcc_dtw,0.9433962264150944
spcc,0.8679245283018868
pca_dtw,0.1320754716981132
sax_twed,0.9433962264150944
sax_ld,0.9433962264150944
chr_euc,0.8301886792452831
mfcc_dtw,0.9433962264150944
spcc,0.8867924528301887
pca_dtw,0.2641509433962264
sax_twed,0.9433962264150944
sax_ld,0.9245283018867925
chr_euc,0.8113207547169812
mfcc_dtw,0.8679245283018868
spcc,0.8490566037735849
pca_dtw,0.1509433962264151
sax_twed,0.9245283018867925
sax_ld,0.8679245283018868
