metric,accuracy
chr_euc,0.64
mfcc_dtw,0.74
spcc,0.84
pca_dtw,0.28
sax_twed,0.84
sax_ld,0.8
chr_euc,0.64
mfcc_dtw,0.86
spcc,0.86
pca_dtw,0.22
sax_twed,0.84
sax_ld,0.8
chr_euc,0.7
mfcc_dtw,0.78
spcc,0.82
pca_dtw,0.22
sax_twed,0.82
sax_ld,0.8
chr_euc,0.68
mfcc_dtw,0.84
spcc,0.86
pca_dtw,0.2
sax_twed,0.76
sax_ld,0.8
chr_euc,0.68
mfcc_dtw,0.7
spcc,0.66
pca_dtw,0.28
sax_twed,0.8
sax_ld,0.76
chr_euc,0.72
mfcc_dtw,0.88
spcc,0.74
pca_dtw,0.24
sax_twed,0.82
sax_ld,0.88
chr_euc,0.64
mfcc_dtw,0.78
spcc,0.72
pca_dtw,0.18
sax_twed,0.8
sax_ld,0.84
chr_euc,0.58
mfcc_dtw,0.88
spcc,0.7
pca_dtw,0.16
sax_twed,0.84
sax_ld,0.76
chr_euc,0.7
mfcc_dtw,0.76
spcc,0.64
pca_dtw,0.22
sax_twed,0.82
sax_ld,0.84
chr_euc,0.6326530612244898
mfcc_dtw,0.7959183673469388
spcc,0.7551020408163265
pca_dtw,0.1836734693877551
sax_twed,0.8163265306122449
sax_ld,0.8163265306122449
