metric,accuracy
chr_euc,0.8571428571428571
mfcc_dtw,0.8571428571428571
spcc,0.9285714285714286
pca_dtw,0.42857142857142855
sax_twed,0.7857142857142857
sax_ld,0.8571428571428571
chr_euc,0.9285714285714286
mfcc_dtw,0.9285714285714286
spcc,0.8571428571428571
pca_dtw,0.5
sax_twed,0.8571428571428571
sax_ld,0.9285714285714286
chr_euc,0.6428571428571429
mfcc_dtw,0.7142857142857143
spcc,0.7857142857142857
pca_dtw,0.5714285714285714
sax_twed,0.7142857142857143
sax_ld,0.7857142857142857
chr_euc,0.7857142857142857
mfcc_dtw,0.7142857142857143
spcc,0.5714285714285714
pca_dtw,0.6428571428571429
sax_twed,0.8571428571428571
sax_ld,0.8571428571428571
chr_euc,0.7857142857142857
mfcc_dtw,0.9285714285714286
spcc,0.6428571428571429
pca_dtw,0.42857142857142855
sax_twed,0.8571428571428571
sax_ld,0.8571428571428571
chr_euc,0.7142857142857143
mfcc_dtw,1.0
spcc,0.9285714285714286
pca_dtw,0.6428571428571429
sax_twed,0.6428571428571429
sax_ld,0.9285714285714286
chr_euc,0.7857142857142857
mfcc_dtw,1.0
spcc,0.9285714285714286
pca_dtw,0.5714285714285714
sax_twed,0.9285714285714286
sax_ld,1.0
chr_euc,1.0
mfcc_dtw,0.9285714285714286
spcc,0.8571428571428571
pca_dtw,0.7142857142857143
sax_twed,1.0
sax_ld,1.0
chr_euc,0.6428571428571429
mfcc_dtw,0.9285714285714286
spcc,0.8571428571428571
pca_dtw,0.35714285714285715
sax_twed,0.9285714285714286
sax_ld,1.0
chr_euc,0.7692307692307693
mfcc_dtw,0.7692307692307693
spcc,0.6153846153846154
pca_dtw,0.38461538461538464
sax_twed,1.0
sax_ld,0.7692307692307693
