metric,accuracy
chr_euc,0.6206896551724138
mfcc_dtw,0.7241379310344828
spcc,0.6896551724137931
pca_dtw,0.06896551724137931
sax_twed,0.6896551724137931
sax_ld,0.7241379310344828
chr_euc,0.5517241379310345
mfcc_dtw,0.6206896551724138
spcc,0.7241379310344828
pca_dtw,0.06896551724137931
sax_twed,0.7241379310344828
sax_ld,0.6896551724137931
chr_euc,0.5172413793103449
mfcc_dtw,0.6896551724137931
spcc,0.4482758620689655
pca_dtw,0.06896551724137931
sax_twed,0.4827586206896552
sax_ld,0.5172413793103449
chr_euc,0.6206896551724138
mfcc_dtw,0.6896551724137931
spcc,0.6206896551724138
pca_dtw,0.06896551724137931
sax_twed,0.5517241379310345
sax_ld,0.5517241379310345
chr_euc,0.6206896551724138
mfcc_dtw,0.6896551724137931
spcc,0.7241379310344828
pca_dtw,0.06896551724137931
sax_twed,0.6206896551724138
sax_ld,0.7241379310344828
chr_euc,0.5862068965517241
mfcc_dtw,0.7931034482758621
spcc,0.6206896551724138
pca_dtw,0.06896551724137931
sax_twed,0.5172413793103449
sax_ld,0.6551724137931034
chr_euc,0.6206896551724138
mfcc_dtw,0.6551724137931034
spcc,0.3793103448275862
pca_dtw,0.06896551724137931
sax_twed,0.5862068965517241
sax_ld,0.6206896551724138
chr_euc,0.8620689655172413
mfcc_dtw,0.7931034482758621
spcc,0.7241379310344828
pca_dtw,0.034482758620689655
sax_twed,0.7586206896551724
sax_ld,0.7931034482758621
chr_euc,0.5357142857142857
mfcc_dtw,0.5714285714285714
spcc,0.6428571428571429
pca_dtw,0.03571428571428571
sax_twed,0.75
sax_ld,0.6785714285714286
chr_euc,0.5357142857142857
mfcc_dtw,0.75
spcc,0.6428571428571429
pca_dtw,0.03571428571428571
sax_twed,0.75
sax_ld,0.6785714285714286
