metric,accuracy
chr_euc,0.9722222222222222
mfcc_dtw,0.9722222222222222
spcc,1.0
pca_dtw,0.75
sax_twed,0.9166666666666666
sax_ld,0.8888888888888888
chr_euc,1.0
mfcc_dtw,0.9722222222222222
spcc,0.9722222222222222
pca_dtw,0.75
sax_twed,1.0
sax_ld,0.9722222222222222
chr_euc,1.0
mfcc_dtw,1.0
spcc,0.9722222222222222
pca_dtw,0.75
sax_twed,0.9722222222222222
sax_ld,0.9722222222222222
chr_euc,1.0
mfcc_dtw,1.0
spcc,0.8611111111111112
pca_dtw,0.75
sax_twed,0.9722222222222222
sax_ld,0.9722222222222222
chr_euc,0.9428571428571428
mfcc_dtw,0.9714285714285714
spcc,0.8571428571428571
pca_dtw,0.7714285714285715
sax_twed,0.9428571428571428
sax_ld,0.9142857142857143
chr_euc,0.9428571428571428
mfcc_dtw,1.0
spcc,1.0
pca_dtw,0.7714285714285715
sax_twed,0.9142857142857143
sax_ld,0.9714285714285714
chr_euc,0.9714285714285714
mfcc_dtw,1.0
spcc,0.8857142857142857
pca_dtw,0.7714285714285715
sax_twed,0.9428571428571428
sax_ld,0.9428571428571428
chr_euc,0.8285714285714286
mfcc_dtw,0.7142857142857143
spcc,0.9142857142857143
pca_dtw,0.7714285714285715
sax_twed,0.8571428571428571
sax_ld,0.8571428571428571
chr_euc,0.8857142857142857
mfcc_dtw,0.8857142857142857
spcc,0.8571428571428571
pca_dtw,0.7428571428571429
sax_twed,0.8571428571428571
sax_ld,0.8857142857142857
chr_euc,0.9714285714285714
mfcc_dtw,0.9428571428571428
spcc,0.9428571428571428
pca_dtw,0.7428571428571429
sax_twed,0.9714285714285714
sax_ld,1.0
